City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
528,umm lajj,25.0213,37.2685,16.24,57,95,4.7,SA,1675825896
529,alice springs,-23.7,133.8833,33.75,40,40,6.17,AU,1675825638
530,angoche,-16.2325,39.9086,24.37,89,100,3.55,MZ,1675825897
531,wawa,9.9022,4.4192,25.51,23,38,2.16,NG,1675825897
532,greensburg,40.3015,-79.5389,9.94,94,100,3.13,US,1675825726
533,karratha,-20.7377,116.8463,35.07,37,42,4.51,AU,1675825898
534,birao,10.2849,22.7882,21.47,19,11,5.32,CF,1675825898
535,murray bridge,-35.1167,139.2667,33.52,27,2,3.48,AU,1675825734
536,at-bashi,41.1702,75.8106,-15.87,61,37,1.94,KG,1675825899
537,marienburg,54.0359,19.0266,-0.62,87,95,2.89,PL,1675825899
538,laguna,38.421,-121.4238,11.62,76,0,0.0,US,1675825900
539,sikasso,10.9167,-7.0,25.17,20,43,1.37,ML,1675825900
540,taoudenni,22.6783,-3.9836,17.1,21,100,5.32,ML,1675825900
